Word,Frequency,PMI,R_Entropy,L_Entropy
圣,471,80,3.616364602615681,6.418464976379856
虽,470,80,6.290215142121526,6.837570438227209
金,470,80,5.563797312399511,6.0190752552548235
隂,468,80,4.913249684294837,6.494473758634206
世,467,80,6.201576682751298,4.796561064266342
堂,466,80,3.506944914940408,5.202034470587683
变,463,80,5.840073758917133,5.482068947533971
东,459,80,6.057274811215507,6.0676968955772725
记,448,80,4.098380161934251,4.72130770288988
终,446,80,5.2092641139952995,5.931851307367632
县,445,80,5.755064607169239,5.131552136580568
皇,440,80,4.766095324055423,6.171795309322859
唐,436,80,6.349378669718573,6.101639786704277
春,436,80,4.896889944884654,6.336468953229764
欤,435,80,6.43779337184964,5.917712516724931
哉,429,80,6.694943144567405,6.304147272631193
定,428,80,4.240019303871061,4.100541174966922
类,427,80,6.132360722133219,4.290060365869882
分,427,80,6.09567920289992,5.414021145773272
万,427,80,3.3970931364183756,6.538904063493909
立,426,80,5.932969251932126,6.269075432792171
陈,424,80,5.680692984803126,6.240001713733243
士,417,80,6.482211845411895,5.874320057060538
由,417,80,4.374147393102607,5.5157626988043855
论,411,80,5.946996634316687,5.262498083925753
使,410,80,6.070777687279751,6.4471610074420385
部,408,80,5.680431322330156,4.319560062244668
易,406,80,5.869747232546622,5.935235233516753
何,406,80,5.286715658497388,6.291553618404463
齐,405,80,6.277725614171661,6.318368155794425
善,404,80,6.330423903472836,6.2396704701051195
氏,403,80,6.163936070461202,5.832739882501864
位,398,80,6.23208682286021,5.649041694107242
工,395,80,6.1584103819730895,5.719725569905261
或,393,80,6.005473244838012,6.595410479565197
备,390,80,5.804502634339017,5.825983777481734
治,389,80,5.83800914256343,5.656441446779169
外,387,80,6.479477423264025,5.566645778643183
举,387,80,5.692668483341239,6.193794162841161
食,386,80,5.9935130773867575,5.549687289703618
孔,383,80,2.4939923572848914,6.094098986184311
风,382,80,5.9522050993141065,5.508580126324649
若,380,80,6.392437248556194,6.21874765278343
角,379,80,6.339722164672011,5.680870585134844
调,378,80,6.624309564754487,5.911434503850482
莫,377,80,4.345693729049453,6.494576941097723
夷,377,80,4.098414684445988,5.931323442276699
击,376,80,5.445764476395518,6.534420723029877
仁,375,80,5.366798608600319,5.747985294517883
观,375,80,4.478031426585889,4.843302629178507
功,370,80,5.686790911421304,5.673624782639351
动,370,80,5.499947497525979,5.748089629818381
情,367,80,5.45071179430097,4.385601080106478
常,366,80,6.782404012255861,5.411556573740695
吹,360,80,6.0439067815907475,4.786898965282454
形,356,80,5.108305505045406,5.554027938042983
邪,355,80,6.579357889426539,6.319862609245847
安,351,80,6.106826828666499,6.602008185507914
飨,351,80,5.1971372220857175,5.0644818590710825
秋,348,80,6.061749164144203,4.283698699122342
学,344,80,5.535808701847626,5.6676443769204665
内,339,80,6.34444526883737,6.336540336213396
法,339,80,6.085907083333068,5.645715146103074
北,336,80,5.55466475207335,5.907691863701124
失,334,80,5.183956543045384,5.193206705148131
掌,334,80,4.875506113509846,4.3281615996614935
云,332,80,5.74246664135522,6.4157447995332655
玉,331,80,5.785865165146286,6.052377666164072
汉,326,80,6.470277437865252,6.467534066165832
尝,326,80,5.203712249037836,4.184501985926748
宋,324,80,5.544984698203828,5.7361027879848985
今,324,80,4.638246534832614,5.214498535134261
实,322,80,6.155833444772358,4.958386532804159
石,322,80,6.10256009340849,5.11037288111993
令,322,80,6.073519231125988,5.96558790003586
门,320,80,5.176416150662207,5.065211663971946
名,319,80,5.929891372682876,5.942297489300233
过,317,80,6.140053267979694,2.7683594045049458
祖,315,80,5.964595548777194,5.411515714799228
志,314,80,5.957298894003181,5.517352416189619
序,314,80,5.57854193348612,4.627093173832426
执,313,80,6.029216732746972,5.836161585576764
郊,311,80,5.0015510933615905,5.74228825657081
设,310,80,6.311198535702415,6.390854248711876
止,310,80,5.52328990178314,5.38644751540111
献,307,80,6.172741648962218,6.161688170174262
容,307,80,5.939526285575267,5.10948280508645
服,305,80,6.4817870952381575,5.91621236246878
命,305,80,6.277296596108968,6.238213990363636
寸,305,80,5.851050578061039,3.739407927649356
燕,305,80,4.692321832765053,6.035830348213979
伯,300,80,6.307229584039331,6.278438161675312
闻,300,80,5.81710613415308,6.376384046571083
乱,300,80,5.658894856301862,5.688579652762495
全,300,80,2.4929236525462453,2.4386128591525384
籥,299,80,5.3927312985277345,5.046182932006828
度,298,80,5.583306400363034,5.1369379582538945
通,294,80,5.941883341733025,6.017077053020422
尺,294,80,5.560960388605847,5.3771077955439575
爲,290,80,6.584265116130803,6.013241114540212
间,290,80,6.146794998461381,5.400274760379339
左,288,80,5.009090151165315,6.301276856003733
賔,285,80,5.7448299089235535,5.486099990485169
土,284,80,5.542012836250028,6.067940878667976
山,279,80,5.462190111267567,6.4758236439103785
颂,278,80,5.187825172158749,4.595436113392751
致,275,80,5.927900242632548,4.890325416029237
尚,275,80,5.488009739070205,6.04489483275446
亲,272,80,6.110111500309818,5.71023586214795
鸣,272,80,5.8967282327197905,5.129289115807058
仪,272,80,5.328570890175585,5.607476035567612
平,271,80,6.294262050857621,6.101656170507666
元,271,80,5.88298581167723,6.102326516227954
语,270,80,5.025741440539716,4.720318206375496
因,269,80,6.360814488450547,6.402715044137156
章,268,80,5.929824604928798,4.677225376366422
从,268,80,5.823964691071582,6.39929314247609
建,267,80,4.779305004384916,5.7059228788404965
兴,263,80,6.095891051122766,5.850039519238434
政,263,80,5.9053353205537995,5.508198125690935
经,263,80,4.472128659253896,5.220411493021847
竹,262,80,5.334219569402512,5.033221688390926
欲,260,80,6.0778363395909905,6.286606136228074
马,259,80,6.51075011691648,5.029051826536021
木,259,80,6.0364339013858945,5.612759110960991
取,258,80,5.482240569159779,6.39373442735129
将,253,80,6.100896378859054,6.3541897422542615
次,252,80,5.253021922105049,5.48146876734509
并,250,80,6.242022010779124,7.014210595402112
去,249,80,5.524722708697912,5.861133545829638
众,247,80,5.475791011192816,5.782999183841066
升,246,80,4.438491852077669,6.208326859170223
既,245,80,6.109868479063542,6.351470703150157
比,245,80,5.84524626324439,5.498724576448334
尊,245,80,5.6552867216500236,5.970169512600632
进,245,80,5.636362341022914,5.892116221793537
饮,245,80,4.199558015195457,5.084421384106569
乃,243,80,6.241685403974436,6.488004035761182
架,243,80,5.853989606267263,3.7668334140309088
采,242,80,4.821457940328396,5.095133116043338
敬,241,80,5.5791212706527595,5.232192840154283
仲,240,80,4.393717028546797,5.928031427897845
各,238,80,5.244040189966615,6.6921191065520285
性,236,80,5.399322588094114,5.01806278006795
俗,236,80,5.21886645071727,4.520349461555455
传,236,80,4.321989463632324,5.516931694680543
胡,235,80,5.062130219731131,6.367645073930544
重,232,80,5.955763935851891,5.683099077506218
乡,230,80,3.531386153876592,5.738841090534267
郑,227,80,3.888821385763206,5.997913157244674
面,225,80,5.797665756554115,4.487574343040904
反,225,80,5.293135995410423,5.446735213609224
瞽,225,80,3.851107516323135,5.183687001221371
晋,223,80,5.691051186322702,6.236162869295195
鼗,223,80,5.459314254778459,5.184503385576302
右,222,80,5.832223872842524,5.1620752848801015
撰,221,80,4.297079327540665,3.3680424225727155
示,219,80,5.638825328252847,3.7299860821470134
盛,216,80,5.224346649907078,5.227880810272086
感,216,80,4.609468928567694,4.558500158400972
箫,215,80,5.060353565820525,5.531526697713656
宾,213,80,5.386422992903221,5.170294130421991
复,212,80,6.356705495130436,6.286770695787738
代,212,80,4.8856692961528605,4.6532599807157204
女,211,80,5.758439369126491,5.919137793042752
好,208,80,5.6105349586879045,5.585398025334183
军,208,80,5.277217760591527,5.804931881997941
水,207,80,5.995541870067154,6.4157776409447775
尔,207,80,4.4992712620772215,6.378207589971538
广,205,80,5.783703599166466,5.996470033572381
年,204,80,6.049968697956434,4.543407466109883
来,204,80,5.924511839681233,4.8259851467145385
属,204,80,5.624098288669492,3.9574046411739325
诏,203,80,5.892321206663696,5.83221551901482
舜,203,80,4.956052686691821,5.081000381058825
尽,202,80,5.59356817053922,5.409864683738129
两,200,80,5.726642990854978,6.125281744760254
施,200,80,4.055947599152507,5.786671182497148
犹,199,80,5.949414284953667,6.380469475625241
降,199,80,5.320824986336111,5.889899836148029
林,199,80,3.3244040256402694,6.052311948800992
酒,197,80,5.798718454861494,4.346170693267545
顺,196,80,5.739723059498151,5.615103877872559
体,195,80,5.661519026550947,5.231185379189835
享,195,80,5.171907395107196,5.209782962515132
卿,195,80,4.074168429962638,3.5459194530719187
首,192,80,6.068899265891988,4.407782037890444
考,192,80,5.080912574656383,5.297048910430983
听,191,80,5.442667921273984,5.707171701633619
理,191,80,5.432588868413483,4.7807585723614805
受,191,80,4.955514455098086,5.788636667709139
色,187,80,6.332565630333036,4.810413358913284
均,185,80,5.580665683129373,5.273699408450547
初,184,80,5.841415568266343,5.482745922178175
流,183,80,5.714049226527762,5.716609498779686
冬,182,80,4.77258675354364,5.392047414753116
前,181,80,6.438783077770189,5.848619406966867
伎,181,80,5.894124380598327,5.81001809228499
宜,181,80,5.53645219168378,5.415150780817289
徴,181,80,5.412322638768815,4.4300117596216975
征,181,80,5.282472285792007,5.5119312566179826
衣,180,80,6.3138126232387535,5.607777828082047
哀,180,80,5.226908134814264,5.826349924535276
戚,180,80,5.111240974666659,2.5212576296624025
别,179,80,5.665212220587482,5.286007282537055
阙,179,80,5.564056875929944,6.398058122542724
居,179,80,5.542661833141,6.129515099565119
白,178,80,5.564268216961069,6.2512067269292855
化,178,80,5.481138275881139,5.200274646506424
华,177,80,5.866101218777048,5.1715535179979994
离,177,80,5.380277193337973,5.245845059828741
卒,177,80,5.345726126657728,5.9827986278981085
饰,177,80,4.328026197395776,5.125390214830142
登,177,80,2.1324495109274775,5.833325162108953
虞,176,80,5.239709679184009,2.895640031910905
固,176,80,5.193106839320109,6.192822903359298
路,176,80,5.00117899685643,5.122757800663343
父,176,80,3.713831524373778,5.62277504673598
羣,176,80,3.6057184226456918,5.793491314212988
髙,175,80,5.430513697011684,6.277087295343147
贵,173,80,4.925216915755008,5.499959139295802
直,172,80,4.834097244807832,5.232963440916805
阶,172,80,4.4861868754468786,3.4589761603224383
多,169,80,5.85701569472212,6.140318869746948
发,169,80,5.779447242998903,5.509359686993232
存,166,80,4.03965490752232,5.898589582624218
当,165,80,5.692257792739902,6.097209280493425
配,165,80,5.486238970146373,4.934020660166759
淫,165,80,5.425656000381821,5.05313592399664
达,165,80,5.375977291426904,5.753556947909432
静,165,80,5.125747686569065,4.138677784462714
拊,164,80,5.103588985961065,4.221060346516066
辰,164,80,4.611287726509491,3.8067403344596773
御,162,80,5.671769674698613,5.474608840101849
遂,162,80,5.662907083608394,5.519112655693312
丝,162,80,4.445998050467817,5.399427790088872
肆,162,80,2.56762269322483,3.8358010524024406
社,161,80,3.9093151369806196,5.244343131543007
辨,160,80,5.174139379947867,4.776364410151605
手,159,80,4.96075046006811,4.78969615711384
龙,158,80,5.989998188706112,5.94710347844623
鲁,158,80,5.296290098112,5.776848648509725
鬼,158,80,3.163930904734426,4.3334421293822425
魏,157,80,5.688111231746555,5.0537084125288665
高,157,80,5.449067307916681,6.211569050668821
逺,157,80,5.244403483136657,5.64362359736881
老,157,80,4.909972822570945,4.568486520135986
革,157,80,4.7449455660446525,5.515505531850192
梁,155,80,5.355641095555886,5.756172200189116
等,154,80,6.16852235922018,6.258991998642718
斯,154,80,5.488493151109196,5.843743057720155
説,154,80,5.40798752454884,3.5453427123397083
造,153,80,6.186741823008395,5.506882505860832
列,153,80,5.628511279510904,5.454039239765037
待,153,80,5.551079564686792,4.638199675537105
阴,153,80,5.313591791686209,5.9584418691450365
杂,153,80,5.222870636857346,5.8485900475846
继,153,80,2.699048091397283,6.055887516162391
末,152,80,5.301952355882063,4.456547474515857
极,151,80,5.610163124338531,5.469961671880813
具,150,80,5.41746673229819,5.729764008344817
散,150,80,5.211313825446884,5.762056151818448
庭,149,80,5.565179085684352,3.643146652266109
孝,149,80,5.247224018172436,5.920137854309506
爵,148,80,5.401717509078951,4.564481640245924
养,147,80,4.44888700655285,5.111583613656992
起,146,80,5.013510226188101,6.077184339880879
新,146,80,4.9499390723707455,5.66897526170021
张,145,80,6.0948579528609566,5.743177676794861
兵,144,80,5.667641131236223,5.712097950852364
宣,144,80,4.939531858149542,5.813354767578284
惟,143,80,6.359845966191626,5.780645875645579
灵,143,80,4.590812228176397,5.4531819647687785
更,142,80,5.419900921127166,5.835727565968913
昭,142,80,5.140334577245549,5.116252927958769
铜,142,80,4.971939072100069,5.294303527949061
朱,142,80,4.557331978688273,5.556347381937974
咸,141,80,4.118921244850455,5.48914704976129
余,140,80,6.13694329710704,5.244771340757734
称,140,80,5.812738601572583,5.90376218480564
